region,year,manufacturer,model,fuel,odometer,title_status,transmission,state,lat,long,price_category
daytona beach,2010.0,honda,civic,gas,183526.0,clean,automatic,fl,29.196674,-81.016966,low
des moines,2017.0,bmw,440xi xdrive gran coupe,gas,70541.0,clean,automatic,ia,44.8346,-91.5159,high
lansing,2010.0,ford,f-150,gas,207891.0,clean,automatic,mi,43.1824,-84.1122,low
florence,2011.0,chevrolet,corvette grand sport,gas,30237.0,clean,other,sc,34.18,-79.78,high
fort collins / north CO,2014.0,jeep,compass,gas,75607.0,clean,automatic,co,39.71087,-105.00285,medium
bellingham,2009.0,nissan,murano s,gas,42947.0,clean,other,wa,48.7535,-122.469,medium
stockton,2019.0,honda,accord,gas,41270.0,clean,automatic,ca,38.630615,-121.20752,high
boston,2009.0,dodge,challenger srt8,gas,13773.0,clean,manual,ma,42.3837,-71.4282,high
springfield,2017.0,chevrolet,traverse,gas,127749.0,clean,automatic,mo,37.2593,-93.2912,medium
albany,2013.0,bmw,x-3,gas,171663.0,clean,automatic,ny,42.675374,-73.784585,low
rochester,2006.0,bmw,330xi xdrive awd sport sedan,gas,159399.0,clean,automatic,mn,44.8346,-91.5159,low
corvallis/albany,2009.0,ram,,diesel,115176.0,clean,automatic,or,45.382346,-122.605132,high
baltimore,2002.0,toyota,sequoia sr5,gas,204826.0,clean,automatic,md,39.1618,-76.6297,low
knoxville,2018.0,lexus,gx470,gas,53000.0,clean,automatic,tn,35.858,-84.1194,high
ocala,2014.0,ram,1500,gas,138400.0,clean,automatic,fl,29.23086,-82.14915,medium
new hampshire,2017.0,ford,escape,gas,71033.0,clean,automatic,nh,42.68101,-71.42583,medium
south florida,2010.0,nissan,pathfinder le,gas,150066.0,clean,automatic,fl,25.849858,-80.316943,low
bellingham,2018.0,toyota,tacoma trd off road 4x4,gas,22360.0,clean,automatic,wa,48.118005,-122.183513,high
birmingham,2019.0,nissan,rogue sport,gas,11285.0,clean,automatic,al,32.9229,-86.545,high
nashville,2013.0,ford,f150,gas,147898.0,clean,automatic,tn,35.59352,-87.05396,high
northwest CT,2012.0,acura,rdx sh-awd sport utility,gas,57685.0,clean,automatic,ct,41.81,-72.9,medium
bellingham,2016.0,mini,countryman,gas,29844.0,clean,automatic,wa,48.75674,-122.45052,medium
"st louis, MO",2006.0,mercury,milan,gas,100000.0,clean,automatic,il,38.5476,-90.3241,low
wilmington,2010.0,toyota,camry,gas,136020.0,clean,automatic,nc,34.2651,-77.867,low
fresno / madera,2006.0,ford,f-250 4x4 super duty 5.4l triton v8 ext cab short bed fabtech lift one owner,gas,109000.0,clean,automatic,ca,38.653713,-121.46615,high
chicago,2018.0,acura,ilx premium pkg sedan 4d,gas,23556.0,clean,other,il,41.53,-87.26,medium
greenville / upstate,2016.0,chevrolet,crew cab,gas,130308.0,clean,automatic,sc,34.0004,-81.0334,high
austin,2018.0,audi,q3 sport premium utility 4d,gas,13698.0,clean,other,tx,30.26,-97.74,high
salem,2018.0,ford,f-350,diesel,44576.0,clean,automatic,or,44.039006,-121.303704,high
kalamazoo,1930.0,chevrolet,coupe,gas,999.0,clean,manual,mi,42.258963,-85.677328,medium
syracuse,2015.0,ford,f-150 xlt,gas,60277.0,clean,automatic,ny,43.208309,-76.81423,high
monterey bay,2013.0,bmw,x1 xdrive28i,gas,74800.0,clean,automatic,ca,36.6002,-121.8947,medium
richmond,2007.0,ford,mustang,gas,151000.0,clean,automatic,va,37.6691,-77.3294,low
salem,2010.0,other,Scion xB,gas,136821.0,clean,automatic,or,44.925908,-122.982753,low
wenatchee,2019.0,toyota,tundra 4wd sr5,gas,42041.0,clean,other,wa,47.713556,-116.91795,high
austin,2017.0,jeep,cherokee,other,48996.0,clean,automatic,tx,30.582572,-97.692412,medium
rhode island,2005.0,toyota,rav4,gas,221000.0,clean,automatic,ri,41.4114,-71.7465,low
long island,2015.0,ford,transit 350hd,gas,52000.0,clean,automatic,ny,40.843,-73.2799,high
baltimore,2016.0,tesla,model s,electric,45183.0,clean,automatic,md,39.444084,-76.60759,high
prescott,2015.0,chevrolet,spark ev 2lt hatchback,electric,25817.0,clean,other,az,34.62,-112.42,medium
tucson,2010.0,ford,fusion s,gas,102241.0,clean,automatic,az,32.200727,-110.874757,low
philadelphia,2019.0,nissan,sentra,gas,62576.0,clean,automatic,pa,40.622791,-73.74012,medium
kenosha-racine,2020.0,chevrolet,spark activ hatchback,gas,6395.0,clean,other,wi,42.72,-87.8,medium
south jersey,2014.0,dodge,journey,gas,100678.0,clean,automatic,nj,39.8911,-75.117,medium
el paso,2011.0,lexus,is,gas,135660.0,clean,automatic,tx,31.77458,-106.38551,medium
hickory / lenoir,2013.0,bmw,x5,gas,97195.0,clean,automatic,nc,,,medium
eastern NC,2012.0,ford,fusion se,gas,122525.0,rebuilt,automatic,nc,34.8235,-78.0166,low
denver,2006.0,other,hummer h2,gas,112000.0,clean,automatic,co,39.6012,-104.7394,high
wyoming,2018.0,other,Genesis G80 3.8 Sedan 4D,other,34054.0,clean,other,wy,33.779214,-84.411811,high
fayetteville,2017.0,ford,escape,gas,87159.0,clean,automatic,ar,38.4018,-93.785,medium
chico,2013.0,ford,edge,gas,101000.0,clean,automatic,ca,39.3532,-121.7137,medium
hawaii,2018.0,chevrolet,camaro,gas,33226.0,clean,other,hi,21.334986,-157.903554,high
laredo,2020.0,chevrolet,silverado 1500,gas,7136.0,clean,automatic,tx,29.148519,-98.875934,high
vermont,2007.0,chevrolet,impala,gas,87000.0,clean,automatic,vt,43.6141,-72.9708,low
ann arbor,2008.0,other,Scion xD Base,gas,174102.0,,automatic,mi,42.568136,-83.813674,low
san luis obispo,2011.0,other,isuzu npr hd boxtruck,diesel,114156.0,clean,automatic,ca,37.3476,-121.887,high
omaha / council bluffs,2019.0,gmc,terrain,gas,83172.0,clean,automatic,ia,41.1345,-96.2458,high
madison,2008.0,ford,super duty f-350 srw,diesel,169724.0,clean,automatic,wi,43.029559,-89.397796,medium
columbia,2013.0,hyundai,elantra,gas,120424.0,clean,automatic,sc,34.1103,-81.1966,low
los angeles,2007.0,toyota,sequoia,gas,95000.0,clean,automatic,ca,34.2262,-118.447,low
waco,2017.0,ford,fusion,gas,38552.0,clean,automatic,tx,31.539723,-97.195009,medium
yakima,2018.0,ford,f150 lariat 4x4 1/2 ton gas,gas,39202.0,clean,automatic,wa,46.234838,-119.128015,high
santa barbara,2017.0,bmw,5 series 535i gran turismo,gas,27288.0,clean,other,ca,33.7865,-84.4454,high
valdosta,1994.0,jeep,wrangler,gas,108000.0,clean,manual,ga,31.501304,-82.849355,low
boulder,2017.0,ford,focus,gas,49065.0,clean,automatic,co,40.0597,-105.0686,low
anchorage / mat-su,2018.0,chrysler,pacifica,gas,125468.0,clean,automatic,ak,61.166683,-149.868236,medium
central NJ,2010.0,ford,econoline cargo van,gas,32988.0,clean,automatic,nj,40.468785,-74.281707,medium
denver,2015.0,audi,q3 premium plus**navi*moon,gas,77678.0,clean,automatic,co,39.675975,-105.008636,medium
bellingham,2015.0,jeep,grand cherokee high 4x4,diesel,75175.0,clean,automatic,wa,47.839605,-122.302203,high
hawaii,2017.0,dodge,journey,,30273.0,clean,automatic,hi,21.318059,-157.865187,medium
billings,2017.0,toyota,tacoma trd off road,gas,123235.0,clean,manual,mt,47.81247,-122.32164,high
pittsburgh,2018.0,honda,civic lx coupe 2d,gas,33876.0,clean,other,pa,40.43,-79.97,medium
monterey bay,2013.0,tesla,model s sedan 4d,electric,59613.0,clean,other,ca,36.6,-121.88,high
minneapolis / st paul,2012.0,nissan,leaf,gas,69999.0,clean,automatic,mn,44.857113,-93.335433,low
chattanooga,2017.0,ram,promaster 1500 cargo van,gas,147064.0,clean,automatic,tn,34.9506,-85.2432,medium
baltimore,2004.0,gmc,sierra 3500 duramax,diesel,86310.0,clean,automatic,md,38.5128,-90.6306,high
western slope,2008.0,chevrolet,impala,gas,247114.0,clean,automatic,co,37.318373,-108.762219,low
decatur,2008.0,harley-davidson,davidson heritage classi,gas,22618.0,clean,automatic,il,39.81138,-89.60592,low
lexington,2018.0,nissan,sentra,gas,77628.0,clean,automatic,ky,38.219687,-84.541856,medium
dallas / fort worth,2011.0,toyota,sienna,gas,149343.0,clean,automatic,tx,32.746976,-96.986368,medium
florence,2016.0,ford,f150 regular cab xl pickup,gas,14230.0,clean,other,sc,34.18,-79.78,high
western massachusetts,2016.0,other,Scion FR-S Release Series 2.0,gas,39647.0,clean,other,ma,42.11,-72.53,medium
space coast,2017.0,ram,1500 quad cab express pickup,gas,42253.0,clean,other,fl,28.17,-80.6,high
albany,1934.0,chevrolet,sedan,gas,6000.0,clean,manual,ny,42.88,-73.9913,high
space coast,2016.0,toyota,tundra double cab sr,gas,22870.0,clean,other,fl,28.17,-80.6,high
bowling green,2018.0,jeep,wrangler unlimited all new,gas,22092.0,clean,other,ky,36.97,-86.44,high
eastern kentucky,2014.0,toyota,tacoma access cab pickup,other,17805.0,clean,other,ky,38.04,-84.45,high
space coast,2020.0,infiniti,qx60 luxe sport utility,gas,6500.0,clean,automatic,fl,28.17,-80.6,high
sioux falls / SE SD,2013.0,chrysler,town and country,gas,90656.0,clean,automatic,sd,43.60743,-96.717839,medium
tri-cities,2013.0,ford,f150 limited,gas,132237.0,clean,automatic,tn,36.2245,-79.8901,high
hartford,2014.0,lexus,ls 460 sedan 4d,diesel,72772.0,clean,other,ct,41.76,-72.68,high
stockton,2006.0,other,Acuarea MDX,gas,217000.0,clean,automatic,ca,37.997821,-121.720167,low
galveston,2018.0,ford,f150 super cab xl pickup 4d,other,13670.0,clean,other,tx,29.3,-94.79,high
clovis / portales,2013.0,chevrolet,tahoe z71,gas,104300.0,clean,automatic,nm,34.442635,-103.178429,medium
chicago,2019.0,hyundai,accent se sedan 4d,gas,31919.0,clean,other,il,41.53,-87.26,medium
lansing,2018.0,acura,mdx sport utility 4d,other,42224.0,clean,other,mi,42.7,-84.55,high
western massachusetts,2007.0,pontiac,grand prix,gas,185073.0,clean,automatic,ma,41.915593,-72.61482,low
"st louis, MO",2010.0,jeep,wrangler unlimited,gas,129000.0,clean,automatic,il,38.511253,-90.434132,medium
el paso,2018.0,toyota,corolla im,gas,28420.0,clean,manual,tx,31.77458,-106.38551,medium
cleveland,2005.0,ford,f450 xl,gas,42000.0,clean,automatic,oh,42.118853,-88.43565,medium
albuquerque,2012.0,kia,forte ex,gas,157000.0,clean,automatic,nm,35.076337,-106.695952,low
des moines,2014.0,ford,f250 super duty,gas,163000.0,clean,automatic,ia,41.2756,-96.2431,high
atlanta,2006.0,audi,a4 2.0t quattro,gas,170991.0,clean,automatic,ga,33.8236,-84.3214,low
new hampshire,2014.0,gmc,savana 2500 cargo,gas,100415.0,clean,automatic,nh,42.8874,-71.302,medium
central NJ,2011.0,ford,f 450,diesel,145249.0,clean,automatic,nj,40.464,-74.2742,high
sacramento,2014.0,ford,f-150,gas,107158.0,clean,automatic,ca,38.741801,-121.290161,high
chicago,2007.0,toyota,corolla,gas,139005.0,clean,automatic,il,42.027,-87.7221,low
denver,2010.0,ford,escape limited,gas,156000.0,clean,automatic,co,39.813333,-105.072255,low
nashville,2015.0,ford,super duty f-350 srw,diesel,161867.0,clean,automatic,tn,35.501561,-86.45741,high
houston,2019.0,other,Genesis G70 3.3T Advanced Sedan,gas,41725.0,clean,other,tx,29.76,-95.38,high
jackson,2020.0,infiniti,qx50 luxe sport utility,other,19042.0,clean,other,tn,35.63,-88.82,high
spokane / coeur d'alene,2019.0,ram,1500 classic sport 4x4,gas,4316.0,clean,automatic,id,47.65613,-117.236949,high
lexington,2005.0,honda,odyssey,gas,272434.0,clean,automatic,ky,37.9872,-84.1789,low
rockford,2021.0,jeep,grand cherokee,gas,11.0,clean,automatic,il,42.2554,-89.0768,low
muskegon,2015.0,dodge,journey r/t sport utility,gas,77833.0,clean,other,mi,43.22,-86.25,medium
houston,2018.0,bmw,x3,gas,31828.0,clean,automatic,tx,29.784739,-95.72725,high
fort collins / north CO,2017.0,ford,edge sel,other,89249.0,clean,automatic,co,40.39442,-104.736165,medium
north jersey,2013.0,volvo,xc90,gas,120760.0,clean,automatic,nj,40.13519,-74.70357,medium
buffalo,1988.0,chevrolet,camaro,gas,38138.0,clean,manual,ny,42.965,-78.677,low
charleston,2012.0,other,Frtlner Cascadia,diesel,283466.0,clean,manual,sc,32.853,-79.9913,medium
north jersey,2013.0,nissan,altima,gas,136498.0,clean,automatic,nj,40.862572,-74.096558,low
albany,2000.0,volkswagen,cabrio,gas,140000.0,clean,manual,ny,42.9082,-73.7228,low
flint,2012.0,cadillac,cts,gas,130000.0,clean,automatic,mi,42.851055,-83.45119,low
toledo,2019.0,gmc,sierra 1500 limited double,gas,14222.0,clean,other,oh,41.66,-83.58,high
gainesville,2006.0,volkswagen,passat,gas,74578.0,clean,automatic,fl,29.6785,-82.3679,low
wichita,2016.0,jeep,patriot,gas,141000.0,clean,automatic,ks,35.395,-97.4972,low
charlotte,2008.0,saturn,astra,gas,128452.0,clean,automatic,nc,34.952829,-80.998136,low
harrisburg,2018.0,kia,soul wagon 4d,gas,27502.0,clean,other,pa,40.27,-76.88,medium
seattle-tacoma,2012.0,jeep,liberty limited 4dr suv,gas,132499.0,,automatic,wa,47.816633,-122.318936,medium
amarillo,2015.0,chevrolet,express cutaway,gas,116661.0,clean,automatic,tx,35.177308,-101.794475,medium
harrisburg,2004.0,other,MERCUTY SABLE,gas,79000.0,clean,automatic,pa,40.23421,-77.125304,low
utica-rome-oneida,2016.0,dodge,challenger r/t coupe 2d,gas,26229.0,clean,other,ny,43.1,-75.23,high
eastern NC,1991.0,gmc,sierra,gas,180274.0,clean,automatic,nc,35.7554,-77.5833,low
new hampshire,2005.0,pontiac,grand prix gt,gas,78808.0,clean,automatic,nh,43.407168,-71.449585,low
SF bay area,2015.0,ford,f-450sd,diesel,64417.0,clean,automatic,ca,34.070311,-117.446303,high
south jersey,2010.0,ford,focus,gas,98316.0,clean,automatic,nj,40.082046,-74.166607,low
western massachusetts,1997.0,volkswagen,jetta,gas,151425.0,clean,manual,ma,42.2653,-73.3745,low
boise,2011.0,ford,super duty f-350 srw laria,diesel,103639.0,clean,automatic,id,47.81247,-122.32164,high
reno / tahoe,2019.0,honda,civic,gas,45490.0,clean,automatic,ca,38.641098,-121.428624,medium
boise,2018.0,other,Jayco Jay Feather,gas,0.0,clean,automatic,id,43.862345,-116.499187,high
oklahoma city,2017.0,chevrolet,equinox,gas,111209.0,clean,automatic,ok,35.419228,-97.50761,medium
cleveland,2001.0,acura,mdx,gas,175000.0,clean,automatic,oh,41.4735,-81.7398,low
seattle-tacoma,1987.0,porsche,944 - 5 speed ----,gas,108959.0,clean,manual,wa,47.828151,-122.309275,medium
raleigh / durham / CH,2005.0,bmw,325ci convertible,gas,185000.0,clean,automatic,nc,35.8673,-78.5381,low
sacramento,2014.0,chevrolet,suburban,gas,161033.0,clean,automatic,ca,38.782359,-121.241768,medium
"washington, DC",2015.0,ford,f-250 crew cab xl 4x4,gas,135497.0,clean,automatic,dc,39.512938,-76.909548,high
fresno / madera,2011.0,dodge,nitro heat 4x4 suv,gas,150253.0,clean,automatic,ca,36.770328,-119.69995,medium
amarillo,2007.0,honda,element,gas,182365.0,clean,automatic,tx,35.216559,-101.829738,low
orlando,2014.0,ram,3500,diesel,204866.0,clean,automatic,fl,29.23086,-82.14915,high
new york city,2004.0,ford,f-150,gas,124630.0,clean,automatic,ny,40.862572,-74.096558,low
seattle-tacoma,2018.0,chevrolet,suburban lt,other,40270.0,clean,automatic,wa,48.0564,-122.185,high
dayton / springfield,2009.0,nissan,altima,gas,101408.0,clean,automatic,oh,39.93716,-84.024989,low
reno / tahoe,2006.0,cadillac,cts,gas,126111.0,clean,automatic,ca,38.608933,-121.430188,low
baltimore,2018.0,toyota,sienna,gas,111701.0,clean,automatic,md,39.115711,-76.892291,medium
eugene,2014.0,dodge,charger,gas,93695.0,clean,automatic,or,44.05294,-123.11188,medium
chicago,2014.0,toyota,rav4 limited,gas,167504.0,clean,automatic,il,41.572305,-88.113993,medium
zanesville / cambridge,2012.0,gmc,sierra,gas,149721.0,clean,automatic,oh,39.748631,-82.660598,medium
topeka,2017.0,infiniti,q60 3.0t premium coupe,gas,67004.0,clean,other,ks,39.03,-95.69,high
minneapolis / st paul,2003.0,toyota,camry,gas,230133.0,clean,automatic,mn,44.9026,-93.2886,low
flint,2008.0,ford,f350 super duty,diesel,205033.0,rebuilt,automatic,mi,43.1824,-84.1122,medium
south jersey,2012.0,hyundai,sonata,gas,101100.0,clean,automatic,nj,36.944935,-95.900725,low
oklahoma city,2016.0,audi,a6 2.0t premium plus sedan,gas,36368.0,clean,other,ok,35.46,-97.51,high
reading,2014.0,chevrolet,silverado 2500 hd crew,gas,53263.0,clean,other,pa,40.33,-75.92,high
wichita falls,2018.0,chevrolet,silverado,gas,70526.0,clean,automatic,tx,35.199,-97.4841,high
jackson,2008.0,chevrolet,equinox,gas,162185.0,clean,automatic,mi,42.303,-85.1304,low
columbus,2013.0,chevrolet,equinox,gas,104103.0,clean,automatic,oh,40.573231,-84.184755,medium
ventura county,2011.0,toyota,tacoma,gas,104000.0,clean,automatic,ca,34.20512,-118.420258,low
muskegon,2008.0,ford,f450 super duty,gas,233198.0,clean,automatic,mi,43.1824,-84.1122,medium
kennewick-pasco-richland,2016.0,jeep,cherokee limited 4x4 gas,gas,62727.0,clean,automatic,wa,46.234838,-119.128015,medium
seattle-tacoma,2012.0,chevrolet,impala,other,114845.0,clean,automatic,wa,47.75695,-122.21223,low
jacksonville,2020.0,chrysler,pacifica touring l,gas,70.0,,automatic,fl,28.59698,-81.398555,high
ann arbor,2008.0,buick,lucerne cxl v6,gas,75000.0,clean,automatic,mi,42.09435,-83.679878,low
fort collins / north CO,2007.0,honda,civic lx,gas,81424.0,clean,automatic,co,40.151342,-105.103948,low
central NJ,2017.0,rover,evoque,gas,40398.0,clean,automatic,nj,40.2043,-74.1779,high
buffalo,2019.0,ford,edge,gas,16935.0,clean,automatic,ny,42.787426,-78.7621,high
baltimore,2010.0,jeep,wrangler,gas,123908.0,clean,automatic,md,39.401274,-76.94095,high
holland,2020.0,ford,transit cargo van,gas,9767.0,clean,automatic,mi,42.449125,-85.669529,high
colorado springs,2010.0,ford,f-150 svt raptor,gas,162000.0,rebuilt,automatic,co,39.1007,-104.8542,medium
los angeles,2008.0,pontiac,g6,gas,95674.0,clean,automatic,ca,33.882239,-118.123972,low
colorado springs,2016.0,kia,soul ! wagon 4d,other,9763.0,clean,other,co,38.82108,-104.82311,medium
los angeles,2001.0,gmc,yukon xl,gas,169000.0,salvage,automatic,ca,34.01098,-118.495458,low
vermont,2010.0,honda,pilot,gas,204500.0,clean,automatic,vt,43.2817,-71.6595,low
bowling green,2016.0,ford,f-150,gas,85000.0,rebuilt,automatic,ky,36.7614,-86.1929,medium
bakersfield,2020.0,gmc,terrain slt,gas,31026.0,clean,automatic,ca,34.076749,-117.89112,high
el paso,2013.0,cadillac,xts sedan 4d,gas,37938.0,clean,other,tx,31.84,-106.43,medium
flagstaff / sedona,1999.0,bmw,540i,gas,110000.0,clean,automatic,az,34.894205,-111.874246,low
tucson,2017.0,ford,focus st,gas,48421.0,clean,manual,az,32.236075,-110.878886,medium
college station,2011.0,ford,f250,diesel,237000.0,clean,automatic,tx,30.648073,-97.861404,high
north mississippi,2014.0,chrysler,300,gas,129128.0,clean,automatic,ms,35.172002,-89.943849,medium
spokane / coeur d'alene,1974.0,chevrolet,1 ton,gas,89000.0,clean,automatic,id,47.809,-117.62,low
hartford,1994.0,ford,f350,diesel,186000.0,clean,automatic,ct,41.5569,-72.6652,medium
topeka,2013.0,ram,1500,gas,129705.0,clean,automatic,ks,39.23492,-94.57671,medium
new york city,2000.0,toyota,land cruiser,gas,140000.0,clean,automatic,ny,40.5979,-73.9743,medium
ft myers / SW florida,2017.0,hyundai,elantra,gas,115273.0,clean,automatic,fl,26.657967,-81.844788,medium
hattiesburg,1991.0,gmc,truck sle sierra,gas,146000.0,clean,automatic,ms,31.77627,-89.688247,low
chattanooga,2019.0,ford,transit,gas,6735.0,clean,automatic,tn,36.4641,-86.65828,high
omaha / council bluffs,2016.0,gmc,sierra 1500,gas,87638.0,clean,automatic,ia,41.1345,-96.2458,high
chattanooga,2020.0,chevrolet,silverado 1500 crew,gas,19160.0,clean,other,tn,35.06,-85.25,high
austin,2017.0,ford,super duty f-350 srw xl automatic,diesel,131458.0,clean,automatic,tx,30.08502,-97.81943,high
hudson valley,2017.0,jaguar,xe 35t r-sport sedan 4d,other,17022.0,clean,other,ny,41.93,-73.99,high
santa barbara,2005.0,toyota,4runner,gas,133000.0,clean,automatic,ca,33.811,-117.8493,low
east idaho,2015.0,gmc,sierra slt,gas,108729.0,clean,automatic,id,43.494763,-111.9839,high
cleveland,2008.0,mercedes-benz,s-class,gas,155255.0,clean,automatic,oh,41.124422,-81.8943,medium
philadelphia,2014.0,mercedes-benz,sprinter 2500 cargo,diesel,163382.0,clean,automatic,pa,40.2084,-74.8291,medium
harrisburg,2008.0,jeep,grand cherokee,gas,132000.0,clean,automatic,pa,40.7503,-78.5352,low
ft myers / SW florida,2019.0,dodge,grand caravan sxt,gas,39359.0,,automatic,fl,27.270402,-82.530222,high
santa fe / taos,,other,Grand Caravan,,21.0,clean,automatic,nm,39.674406,-104.998604,high
albuquerque,2013.0,volkswagen,jetta sportwagen 2.0l,gas,47380.0,clean,other,nm,35.11,-106.62,medium
saginaw-midland-baycity,2015.0,mercedes-benz,sl-class sl 400,gas,24048.0,clean,other,mi,43.41,-83.94,high
madison,2003.0,chevrolet,silverado,gas,144000.0,clean,automatic,wi,43.793645,-89.834632,medium
"washington, DC",2009.0,subaru,impreza,gas,91000.0,rebuilt,automatic,dc,38.8307,-77.2142,low
south florida,1955.0,other,Chevorlet 210,gas,1.0,clean,automatic,fl,26.0255,-80.2535,high
brainerd,2014.0,chrysler,300,gas,,clean,automatic,mn,46.3502,-94.1,medium
wilmington,2017.0,chevrolet,silverado 1500 double cab,gas,80100.0,clean,automatic,nc,34.254848,-77.845567,high
roseburg,2014.0,chevrolet,silverado 1500 ltz 4x4,gas,147250.0,clean,automatic,or,43.21893,-123.35784,high
minneapolis / st paul,2008.0,ford,f-350 xlt super duty,gas,261002.0,clean,manual,mn,45.301033,-92.970836,medium
asheville,2000.0,jeep,cherokee,gas,100.0,clean,automatic,nc,34.5271,-82.7087,low
wyoming,2003.0,nissan,murano,gas,168055.0,clean,automatic,wy,45.7629,-108.539,low
indianapolis,2017.0,lexus,rx 350 sport utility 4d,gas,28185.0,clean,other,in,39.77,-86.14,high
yuba-sutter,2009.0,nissan,versa 1.6,gas,29145.0,clean,automatic,ca,39.123441,-121.61144,low
los angeles,2017.0,jeep,wrangler,gas,80449.0,clean,automatic,ca,33.946412,-117.295118,high
salem,2007.0,mini,cooper s,gas,81081.0,clean,automatic,or,44.039006,-121.303704,low
tulsa,1946.0,other,studebaker pickup,gas,40000.0,clean,manual,ok,35.944353,-95.646114,low
san antonio,2013.0,ford,explorer,gas,142261.0,clean,automatic,tx,29.407854,-98.556488,medium
grand rapids,1998.0,ford,mustang svt cobra,gas,131400.0,clean,manual,mi,42.8135,-86.1426,medium
janesville,2009.0,chevrolet,colbalt,gas,223000.0,clean,manual,wi,42.658302,-88.887119,low
north jersey,2005.0,dodge,stratus,other,138658.0,clean,automatic,nj,40.862572,-74.096558,low
"kansas city, MO",2008.0,honda,element sc,gas,194700.0,clean,automatic,ks,39.221593,-94.470999,low
altoona-johnstown,2012.0,hyundai,veloster coupe 3d,other,49704.0,clean,other,pa,40.5,-78.4,medium
valdosta,2018.0,chevrolet,equinox lt,gas,26345.0,clean,automatic,ga,29.802119,-82.530022,high
south bend / michiana,2014.0,chevrolet,silverado 1500 double,gas,26129.0,clean,other,in,41.67,-86.26,high
billings,2007.0,ford,escape xlt 4x4,gas,215000.0,clean,automatic,mt,45.7813,-108.5727,low
"washington, DC",2017.0,other,Jauguar F-Pace,gas,58017.0,clean,automatic,dc,38.9797,-76.7435,high
pueblo,2018.0,infiniti,qx60 3.5 sport utility,other,31047.0,clean,automatic,co,33.7865,-84.4454,high
"st louis, MO",2020.0,buick,encore gx,gas,172.0,clean,automatic,il,38.857153,-90.0684,high
colorado springs,1999.0,chevrolet,blazer,gas,188000.0,clean,automatic,co,38.788094,-104.756928,low
amarillo,2016.0,dodge,challenger,gas,53887.0,clean,manual,tx,35.203066,-101.895003,high
pittsburgh,2005.0,lexus,rx,gas,236726.0,clean,automatic,pa,40.37621,-79.992571,low
winchester,2020.0,lincoln,continental sedan 4d,gas,1772.0,clean,other,va,39.17,-78.17,high
columbia / jeff city,2012.0,jeep,wrangler sahara sport,gas,66649.0,clean,other,mo,38.95,-92.32,high
san diego,2017.0,ram,promaster 2500,gas,65000.0,clean,automatic,ca,33.0459,-117.2906,high
flagstaff / sedona,2021.0,honda,accord,gas,696.0,clean,automatic,az,35.1859,-111.662,high
birmingham,2019.0,toyota,corolla,gas,44752.0,clean,automatic,al,34.0025,-84.4633,medium
omaha / council bluffs,2015.0,mazda,cx-5 touring,gas,117600.0,clean,automatic,ia,41.212606,-95.974555,medium
santa maria,2014.0,mercedes-benz,c-class c 63 amg,gas,39558.0,clean,automatic,ca,33.7865,-84.4454,high
harrisburg,2007.0,ford,ranger xlt,gas,106501.0,clean,automatic,pa,40.198881,-77.151408,low
bellingham,2018.0,toyota,tacoma,gas,16739.0,clean,automatic,wa,47.1991,-122.3151,high
springfield,2021.0,buick,envision,gas,393.0,clean,automatic,mo,38.382623,-93.77344,high
oklahoma city,2013.0,ram,2500,diesel,132405.0,clean,automatic,ok,30.65014,-97.868786,high
rhode island,2017.0,other,International 4300,diesel,,clean,automatic,ri,41.66203,-71.571768,high
long island,2012.0,nissan,xterra,gas,127778.0,clean,automatic,ny,40.8705,-73.0822,medium
fort wayne,2011.0,dodge,grand caravan,gas,129400.0,clean,automatic,in,42.9468,-83.817,low
western slope,2012.0,buick,enclave awd,gas,130570.0,clean,automatic,co,38.406556,-107.844243,medium
hattiesburg,2015.0,chevrolet,silverado 1500,gas,214000.0,clean,automatic,ms,30.520244,-89.647288,medium
fort collins / north CO,2005.0,jeep,liberty crd,diesel,66046.0,clean,automatic,co,40.62392,-105.08972,medium
wilmington,2013.0,bmw,3 series,gas,32359.0,clean,automatic,nc,,,medium
long island,2018.0,toyota,c-hr,gas,23764.0,clean,automatic,ny,40.774935,-73.731811,medium
charlottesville,2006.0,chrysler,300,gas,52258.0,clean,automatic,va,38.2095,-78.3098,low
springfield,2005.0,ram,2500 cummins,diesel,27741.0,clean,automatic,mo,38.5128,-90.6306,high
"quad cities, IA/IL",1999.0,other,Plymouth Prowler,gas,95674.0,clean,automatic,il,42.4778,-92.3661,high
south jersey,2010.0,jeep,compass,gas,102100.0,clean,automatic,nj,36.944935,-95.900725,low
hartford,2009.0,toyota,corolla,gas,106222.0,clean,automatic,ct,41.658369,-72.866606,low
bend,2015.0,toyota,tacoma,gas,44592.0,clean,automatic,or,46.9996,-120.5163,high
port huron,2012.0,chevrolet,corvette grand sport,other,9169.0,clean,automatic,mi,43.01717,-82.45099,high
missoula,2010.0,ford,f-150,gas,88664.0,clean,automatic,mt,47.692931,-117.411632,high
duluth / superior,2013.0,hyundai,veloster,gas,78875.0,clean,automatic,mn,45.551583,-93.230391,low
grand rapids,2014.0,ram,2500,diesel,197754.0,clean,automatic,mi,43.0506,-83.61512,high
binghamton,2014.0,honda,accord,gas,80000.0,clean,automatic,ny,42.1138,-76.2528,medium
appleton-oshkosh-FDL,2019.0,lincoln,nautilus select sport,gas,13065.0,clean,other,wi,44.26,-88.39,high
